"abspos","chromosome_name","start_position","end_position","ensembl_gene_id","hgnc_symbol","band"
13139,1,11869,14409,"ENSG00000223972","DDX11L1","p36.33"
21987,1,14404,29570,"ENSG00000227232","WASH7P","p36.33"
17402,1,17369,17436,"ENSG00000278267","MIR6859-1","p36.33"
30331,1,29554,31109,"ENSG00000243485","RP11-34P13.3","p36.33"
30434,1,30366,30503,"ENSG00000284332","MIR1302-2","p36.33"
35317,1,34554,36081,"ENSG00000237613","FAM138A","p36.33"
52892,1,52473,53312,"ENSG00000268020","OR4G4P","p36.33"
60857,1,57598,64116,"ENSG00000240361","OR4G11P","p36.33"
68502,1,65419,71585,"ENSG00000186092","OR4F5","p36.33"
111509,1,89295,133723,"ENSG00000238009","RP11-34P13.7","p36.33"
90328,1,89551,91105,"ENSG00000239945","RP11-34P13.8","p36.33"
132930,1,131025,134836,"ENSG00000233750","RP11-34P13.10","p36.33"
135518,1,135141,135895,"ENSG00000268903","RP11-34P13.15","p36.33"
137823,1,137682,137965,"ENSG00000269981","RP11-34P13.16","p36.33"
140064,1,139790,140339,"ENSG00000239906","RP11-34P13.14","p36.33"
157668,1,141474,173862,"ENSG00000241860","RP11-34P13.13","p36.33"
157835,1,157784,157887,"ENSG00000222623","RNU6-1100P","p36.33"
160985,1,160446,161525,"ENSG00000241599","RP11-34P13.9","p36.33"
183435,1,182696,184174,"ENSG00000279928","ABC7-43046700E7.1","p36.33"
190314,1,185217,195411,"ENSG00000279457","RP11-34P13.18","p36.33"
187924,1,187891,187958,"ENSG00000273874","MIR6859-2","p36.33"
308772,1,257864,359681,"ENSG00000228463","AP006222.1","p36.33"
348174,1,347982,348366,"ENSG00000236679","RPL23AP24","p36.33"
362454,1,358857,366052,"ENSG00000236601","RP4-669L17.2","p36.33"
444158,1,365389,522928,"ENSG00000237094","RP4-669L17.4","p36.33"
440051,1,439870,440232,"ENSG00000269732","RP4-669L17.6","p36.33"
451200,1,450703,451697,"ENSG00000284733","OR4F29","p36.33"
488503,1,487101,489906,"ENSG00000233653","CICP7","p36.33"
492233,1,491225,493241,"ENSG00000250575","RP4-669L17.8","p36.33"
516427,1,516376,516479,"ENSG00000278757","RF00026","p36.33"
706933,1,586071,827796,"ENSG00000230021","RP11-206L10.17","p36.33"
591198,1,587629,594768,"ENSG00000235146","RP5-857K21.2","p36.33"
629247,1,629062,629433,"ENSG00000225972","RP5-857K21.9","p36.33"
630161,1,629640,630683,"ENSG00000225630","RP5-857K21.8","p36.33"
631845,1,631074,632616,"ENSG00000237973","RP5-857K21.6","p36.33"
632369,1,632325,632413,"ENSG00000278791","MIR6723","p36.33"
633097,1,632757,633438,"ENSG00000229344","RP5-857K21.7","p36.33"
633638,1,633535,633741,"ENSG00000240409","RP5-857K21.14","p36.33"
634036,1,633696,634376,"ENSG00000248527","RP5-857K21.10","p36.33"
634649,1,634376,634922,"ENSG00000198744","RP5-857K21.11","p36.33"
675053,1,674842,675265,"ENSG00000268663","RP5-857K21.12","p36.33"
686176,1,685679,686673,"ENSG00000284662","OR4F16","p36.33"
723497,1,722092,724903,"ENSG00000229376","RP11-206L10.15","p36.33"
752255,1,725885,778626,"ENSG00000228327","RP11-206L10.2","p36.33"
758284,1,758233,758336,"ENSG00000223181","RNU6-1199P","p36.33"
761450,1,760911,761989,"ENSG00000229905","RP11-206L10.4","p36.33"
794415,1,778770,810060,"ENSG00000237491","RP11-206L10.9","p36.33"
781993,1,781937,782050,"ENSG00000285268","RP11-206L10.18","p36.33"
809295,1,800879,817712,"ENSG00000230092","RP11-206L10.8","p36.33"
818604,1,817371,819837,"ENSG00000177757","FAM87B","p36.33"
842292,1,825138,859446,"ENSG00000228794","RP11-206L10.11","p36.33"
826864,1,826206,827522,"ENSG00000225880","NCRNA00115","p36.33"
872487,1,868071,876903,"ENSG00000230368","FAM41C","p36.33"
873820,1,873292,874349,"ENSG00000234711","TUBB8P11","p36.33"
875881,1,874529,877234,"ENSG00000283040","FAM166AP3","p36.33"
910405,1,904834,915976,"ENSG00000272438","RP11-54O7.16","p36.33"
913191,1,911435,914948,"ENSG00000230699","RP11-54O7.1","p36.33"
914571,1,914171,914971,"ENSG00000241180","RP11-54O7.2","p36.33"
918940,1,916865,921016,"ENSG00000223764","RP11-54O7.3","p36.33"
934254,1,923928,944581,"ENSG00000187634","SAMD11","p36.33"
951756,1,944204,959309,"ENSG00000188976","NOC2L","p36.33"
963151,1,960587,965715,"ENSG00000187961","KLHL17","p36.33"
971181,1,966497,975865,"ENSG00000187583","PLEKHN1","p36.33"
978648,1,975204,982093,"ENSG00000187642","PERM1","p36.33"
997008,1,995966,998051,"ENSG00000272512","RP11-54O7.17","p36.33"
999567,1,998962,1000172,"ENSG00000188290","HES4","p36.33"
1007839,1,1001138,1014541,"ENSG00000187608","ISG15","p36.33"
1008152,1,1008076,1008229,"ENSG00000231702","RP11-54O7.10","p36.33"
1012595,1,1011997,1013193,"ENSG00000224969","RP11-54O7.11","p36.33"
1038120,1,1020123,1056118,"ENSG00000188157","AGRN","p36.33"
1055574,1,1055033,1056116,"ENSG00000242590","RP11-54O7.14","p36.33"
1064544,1,1059734,1069355,"ENSG00000217801","RP11-465B22.3","p36.33"
1062748,1,1062208,1063288,"ENSG00000273443","RP11-54O7.18","p36.33"
1072636,1,1070966,1074307,"ENSG00000237330","RNF223","p36.33"
1099089,1,1081818,1116361,"ENSG00000131591","C1orf159","p36.33"
1140536,1,1137017,1144056,"ENSG00000223823","RP11-465B22.5","p36.33"
1167151,1,1167104,1167198,"ENSG00000207730","MIR200B","p36.33"
1167907,1,1167863,1167952,"ENSG00000207607","MIR200A","p36.33"
1169046,1,1169005,1169087,"ENSG00000198976","MIR429","p36.33"
1169850,1,1169357,1170343,"ENSG00000272141","RP11-465B22.8","p36.33"
1176305,1,1173056,1179555,"ENSG00000205231","RP11-465B22.6","p36.33"
1185909,1,1173884,1197935,"ENSG00000162571","TTLL10","p36.33"
1205099,1,1203508,1206691,"ENSG00000186891","TNFRSF18","p36.33"
1212732,1,1211326,1214138,"ENSG00000186827","TNFRSF4","p36.33"
1224469,1,1216908,1232031,"ENSG00000078808","SDF4","p36.33"
1233653,1,1232265,1235041,"ENSG00000176022","B3GALT6","p36.33"
1244584,1,1242446,1246722,"ENSG00000184163","C1QTNF12","p36.33"
1250555,1,1249777,1251334,"ENSG00000260179","RP5-902P8.12","p36.33"
1263897,1,1253909,1273885,"ENSG00000160087","UBE2J2","p36.33"
1277821,1,1275223,1280420,"ENSG00000230415","RP5-902P8.10","p36.33"
1286232,1,1280436,1292029,"ENSG00000162572","SCNN1D","p36.33"
1300992,1,1292376,1309609,"ENSG00000131584","ACAP3","p36.33"
1296140,1,1296110,1296170,"ENSG00000278073","MIR6726","p36.33"
1310122,1,1308567,1311677,"ENSG00000169972","PUSL1","p36.33"
1318138,1,1311585,1324691,"ENSG00000127054","INTS11","p36.33"
1312534,1,1312502,1312566,"ENSG00000283712","MIR6727","p36.33"
1318135,1,1317581,1318689,"ENSG00000240731","RP5-890O3.9","p36.33"
1326826,1,1324756,1328897,"ENSG00000224051","CPTP","p36.33"
1333310,1,1331314,1335306,"ENSG00000169962","TAS1R3","p36.33"
1342313,1,1335276,1349350,"ENSG00000107404","DVL1","p36.33"
1339679,1,1339650,1339708,"ENSG00000284372","MIR6808","p36.33"
1357233,1,1352689,1361777,"ENSG00000162576","MXRA8","p36.33"
1374612,1,1373730,1375495,"ENSG00000175756","AURKAIP1","p36.33"
1378849,1,1378666,1379032,"ENSG00000223663","RP5-890O3.3","p36.33"
1392519,1,1385711,1399328,"ENSG00000221978","CCNL2","p36.33"
1400784,1,1399522,1402046,"ENSG00000224870","RP4-758J18.2","p36.33"
1404610,1,1401908,1407313,"ENSG00000242485","MRPL20","p36.33"
1405606,1,1405460,1405752,"ENSG00000264293","RN7SL657P","p36.33"
1409857,1,1409096,1410618,"ENSG00000272455","RP4-758J18.13","p36.33"
1420094,1,1418420,1421769,"ENSG00000235098","ANKRD65","p36.33"
1421468,1,1420245,1422691,"ENSG00000225905","RP4-758J18.7","p36.33"
1426957,1,1426128,1427787,"ENSG00000205116","TMEM88B","p36.33"
1432556,1,1430539,1434573,"ENSG00000225285","RP4-758J18.10","p36.33"
1438871,1,1434861,1442882,"ENSG00000179403","VWA1","p36.33"
